Id,author_name,paper_name,node_type
7073,,a new genetic representation for quadratic assignment problem,article
7074,,novel approaches to automated personality classification: ideas and their potentials,conference paper
7075,,variable neighborhood search for multiple level warehouse layout problem,article
7076,,electromagnetism-like algorithm for support vector machine parameter tuning,article
7077,,an integer linear formulation for the file transfer scheduling problem,article
7078,,solving the simple plant location problem by genetic algorithm,article
7079,,an integer linear programming formulation and genetic algorithm for the maximum set splitting problem,article
7080,,two hybrid genetic algorithms for solving the super-peer selection problem,conference paper
7081,,genetic algorithm for solving uncapacitated multiple allocation hub location problem,article
7082,,a new nonlinear model for the two-dimensional rectangle packing problem,article
7083,,variable neighborhood search for solving bandwidth coloring problem,article
7084,,two genetic algorithms for solving the uncapacitated single allocation p-hub median problem,article
7085,,solving the maximally balanced connected partition problem in graphs by using genetic algorithm,article
7086,,an electromagnetism metaheuristic for solving the maximum betweenness problem,article
7087,,a genetic algorithm for solving multiple warehouse layout problem,article
7088,sasa n. malkov,,author
7089,,plant regeneration in leaf culture of centaurium erythraea rafn. part 2: the role of arabinogalactan proteins,article
7090,,what are the preferred horizontal displacements of aromatic-aromatic interactions in proteins? comparison with the calculated benzene-benzene potential energy surface,article
7091,,customizing a functional programming language for web development,article
7092,,new software for collecting data from the organized cervical cancer screening program in serbia. are we on the threshold of a new screening registry? - a multicentric study,article
7093,,milutin milankovic digital legacy,conference paper
7094,filip m. maric,,author
7095,,ccd microscopy - image analysis by group for intelligent systems (gis),review
7096,,using simplex method in verifying software safety,article
7097,,automatic construction of surface model,conference paper
7098,,mesat: multiple encodings of csp to sat,article
7099,,formal verification of a modern sat solver by shallow embedding into isabelle/hol,article
7100,,formalization and implementation of modern sat solvers,article
7101,,formalization of incremental simplex algorithm by stepwise refinement,conference paper
7102,b'',b'fast formal proof of the erd\xc5\x91s\xe2\x80\x93szekeres conjecture for convex polygons with at most 6 points',b'article in press'
7103,miroslav maric,,author
7104,,metaheuristic methods for solving the bilevel uncapacitated facility location problem with clients' preferences,article
7105,,a system for neural acoustics analysis,conference paper
7106,,fuzzy grasp with path relinking for the risk-constrained cash-in-transit vehicle routing problem,article in press
7107,,an efficient genetic algorithm for solving the multi-level uncapacitated facility location problem,article
7108,,parking search optimization in urban area,article
7109,,an efficient evolutionary algorithm for locating long-term care facilities,article
7110,,an extension of maximal covering location problem based on the choquet integral,article
7111,,"comparison of interpolation polynomials with divided differences, interpolation polynomials with finite differences, and quadratic functions obtained by the least squares method in modeling of chromatographic responses",article
7112,,hybrid metaheuristic method for determining locations for long-term health care facilities,article
7113,,an efficient memetic algorithm for the uncapacitated single allocation hub location problem,article
7114,,parallel vns for bus terminal location problem,article
7115,,two efficient hybrid metaheuristic methods for solving the load balance problem,article
7116,,technology enhancing mathematics learning behaviours: shifting learning goals from “producing the right answer” to “understanding how to address current and future mathematical challenges”,article in press
7117,,efficiency of using vns algorithm for forming heterogeneous groups for cscl learning,article
7118,,metaheuristic approaches to solving large-scale bilevel uncapacitated facility location problem with clients' preferences,article
7119,,a note on the use of choquet and sugeno integrals in minimal and maximal covering location problems,conference paper
7120,,solving minimal covering location problem (minclp) with the aid of fuzzy sets,conference paper
7121,,exponential quality function for community detection in complex networks,article in press
7122,,the role of fuzzy sets in improving maximal covering location problem (mclp),conference paper
7123,,a new fuzzy version of the risk-constrained cash-in-transit vehicle routing problem,article
7124,,a hybridization of an evolutionary algorithm and a parallel branch and bound for solving the capacitated single allocation hub location problem,article
7125,,new model of maximal covering location problem with fuzzy conditions,article
7126,,parameter adjustment for genetic algorithm for two-level hierarchical covering location problem,article
7127,,memetic algorithm for solving the multilevel uncapacitated facility location problem,article
7128,,fuzzy covering location problems with different aggregation operators,article
7129,,adaptation of edges in a triangular mesh,conference paper
7130,nenad s. mitic,,author
7131,,software tools for simultaneous data visualization and t cell epitopes and disorder prediction in proteins,article
7132,,"epitope distribution in ordered and disordered protein regions - part a. t-cell epitope frequency, affinity and hydropathy",article
7133,,n-gram analysis of cog categorized protein sequences,article
7134,,finding statistically significant repeats in nucleic acids and proteins,article
7135,,epitope distribution in ordered and disordered protein regions. part b - ordered regions and disordered binding sites are targets of t- and b-cell immunity,article
7136,milan bankovic,,author
7137,,solving finite-domain linear constraints in presence of the alldifferent,article
7138,,extending smt solvers with support for finite domain alldifferent constraint,article
7139,,parallelizing simplex within smt solvers,article
7140,jelena b. graovac,,author
7141,,a variant of n-gram based language-independent text categorization,article
7142,,serbian text categorization using byte level n-grams,conference paper
7143,aleksandar kartelj,,author
7144,,an improved electromagnetism-like method for feature selection,article
7145,,case-based reasoning and electromagnetism-like method in construction management,article
7146,,electromagnetism metaheuristic algorithm for solving the strong minimum energy topology problem,article
7147,jovana j. kovacevic,,author
7148,,computational analysis of position-dependent disorder content in disprot database,article
7149,vesna marinkovic,,author
7150,,argotrics–automated triangle construction solver,article
7151,mladen nikolic,,author
7152,,mapping efficiency and information content,article
7153,,software verification and graph similarity for automated evaluation of students' assignments,article
7154,,statistical methodology for comparison of sat solvers,conference paper
7155,,pseudo-random number generator based on discrete-space chaotic map,article
7156,,sparse regression interaction models for spatial prediction of soil properties in 3d,article
7157,,measuring similarity of graph nodes by neighbor matching,article
7158,milena m. vujosevic janicic,,author
7159,,ensuring safe usage of buffers in programming language c,conference paper
7160,,development and evaluation of lav: an smt-based error finding platform: system description,conference paper
7161,sana stojanovic djurdjevic,,author
7162,stasa vujicic stankovic,,author
7163,,semi-automatic extraction of multiword terms from domain-specific corpora,article
7164,,enriching serbianwordnet and electronic dictionaries with terms from the culinary domain,conference paper
7165,,"a new course on r&amp;d project management in computer science and engineering: subjects taught, rationales behind, and lessons learned",book chapter
7166,stefan z. miskovic,,author
7167,,an efficient variable neighborhood search for solving a robust dynamic facility location problem in emergency service network,article
7168,,modeling of hilic retention behavior with theoretical models and new spline interpolation technique,article
7169,,a two-phase optimization method for solving the multi-type maximal covering location problem in emergency service networks,article
7170,,a hybrid metaheuristic method for the deterministic and robust uncapacitated multiple allocation p-hub centre problem,article
7171,,a vns-lp algorithm for the robust dynamic maximal covering location problem,article
7172,,memetic algorithm for the balanced resource location problem with preferences,conference paper
7173,,solving the robust two-stage capacitated facility location problem with uncertain transportation costs,article
7174,,hybrid metaheuristic method for solving a multi-period emergency service location problem,article
7175,,novel formulations and vns-based heuristics for single and multiple allocation p-hub maximal covering problems,article
7176,,a memetic algorithm for solving two variants of the two-stage uncapacitated facility location problem,article
7177,,efficient metaheuristic approaches for exploration of online social networks,book chapter
7178,danijela simic,,author
7179,jelena z. hadzi puric,,author
7180,,automatic drug adverse reaction discovery from parenting websites using disproportionality methods,conference paper
7181,,extracting drug adverse and beneficial reactions in pediatric population from healthcare social network,conference paper
7182,ivan cukic,,author
7183,ognjen kocic,,author
7184,,driver monitoring algorithm for advanced driver assistance systems,conference paper
7185,,experience from porting complex algorithms on heterogeneous multi-core systems,conference paper
7186,,optimization of driver monitoring adas algorithm for heterogeneous platform,conference paper
7187,mirjana maljkovic,,author
7188,nina radojicic,,author
7189,aleksandra kocic,,author
7190,ana spasic,,author
7191,mirko spasic,,author
7192,biljana stojanovic,,author
7193,ivana d. tanasijevic,,author
7194,andjelka zecevic,,author
7195,aleksandar veljkovic,,author
7196,,erythropoietin in predicting prognosis in patients with acute-on-chronic liver failure,article
7197,,change in the incidence and anatomic distribution of colorectal adenoma and cancer over a period of 20 years – a single center experience [promene u incidenci i anatomskoj distribuciji kolorektalnih adenoma i karcinoma u periodu od 20 godina – iskustvo jednog centra],article
7198,,doppler ultrasonography combined with transient elastography improves the non-invasive assessment of fibrosis in patients with chronic liver diseases,article
7199,,erythropoietin in the evaluation of treatment outcomes in patients with polytrauma,article
7200,vladimir kuzmanovic,,author
7201,marjana solajic,,author
7202,anja bukurov,,author
7203,nemanja micovic,,author
7204,nikola milev,,author
7205,marinela parovic,,author
7206,milica selakovic,,author
7207,nikola simic,,author
7208,bosko nikolic,,author
7209,,testing artificial intelligence knowledge with interactive web system [veb sistem za polaganje testova znanja iz inteligentnih sistema],conference paper
7210,,the vsds environment based laboratory in computer architecture and organisation,article
7211,,ewisens: educational wireless sensor network simulator,conference paper
7212,,sentiment classification of documents in serbian: the effects of morphological normalization,conference paper
7213,,text content analysis using ontology and semantic similarity [analiziranje sadrzaja tekstova upotrebom ontologije i semanticke slicnosti],conference paper
7214,,cal2: computer aided learning in computer architecture laboratory,article
7215,,a module for automatic assessment and verification of students' work in digital logic design,conference paper
7216,,software framework for development and running multiplayer games [softverski sistem za razvoj i pokretanje igara za vise igraca],conference paper
7217,,castle: computer architecture self-testing and learning system,conference paper
7218,,sdlds-system for digital logic design and simulation,article
7219,,insos - educational system for teaching intelligent systems,article
7220,,a survey and evaluation of simulators suitable for teaching courses in computer architecture and organization,review
7221,,algorithm for calculating influence of power transformer oil temperature change on the accuracy of all-acoustic non-iterative partial discharge localization,article
7222,,a software system for determining the semantic similarity of short texts in serbian [softverski sistem za odredivanje semanticke slicnosti kratkih tekstova na srpskom jeziku],conference paper
7223,,reliable baselines for sentiment analysis in resource-limited languages: the serbian movie review dataset,conference paper
7224,,implementation of android application for faculty employees [realizacija android aplikacije za potrebe zaposlenih na fakultetu],conference paper
7225,,a memory system for education,article
7226,,software package for an educational computer system,article
7227,,flexible web-based educational system for teaching computer architecture and organization,article
7228,,software system for expert systems learning,conference paper
7229,,a systematic approach to generation of new ideas for phd research in computing,book chapter
7230,,serious gaming based on kinect technology for autistic children in serbia,conference paper
7231,,digital logic simulator,conference paper
7232,,integration of simulators in virtual 3d computer science classroom,conference paper
7233,,a survey and evaluation of state-of-the-art intelligent question routing systems,article
7234,,nutie - a modern open source natural language processing toolkit,conference paper
7235,,a classification of elearning tools based on the applied multimedia,article
7236,,feasibility of applying data mining techniques for predicting technical difficulties during laparoscopic cholecystectomy based on routine patient work-up in a small community hospital,article
7237,,a classification of mutational approaches for genetic search,conference paper
7238,,a software agent for social networks using natural language processing techniques,conference paper
7239,,wasp: a web-based simulator for an educational pipelined processor,article
7240,,a survey of intelligent question routing systems,conference paper
7241,,sentiment classification of documents in serbian: the effects of morphological normalization and word embeddings,article
7242,,semantic similarity of short texts in languages with a deficient natural language processing support,article
7243,dragan s. milicev,,author
7244,,discovering models of parallel workflow processes from incomplete event logs,conference paper
7245,,an interactive tool for uml class model evolution in database applications,article
7246,,a retrospective on user interface development technology,review
7247,,towards understanding of classes versus data types in conceptual modeling and uml,article
7248,,domain mapping using extended uml object diagrams,article
7249,,control flow regeneration for software pipelined loops with conditions,review
7250,,discovering block-structured parallel process models from causally complete event logs,article
7251,,predicated software pipelining technique for loops with conditions,conference paper
7252,,capsule-based user interface modeling for large-scale applications,article
7253,,empirical analysis of gui programming concerns,article
7254,,socratenon - a web-based training system with an intellect,conference paper
7255,,a classification and comparison of data mining algorithms for wireless sensor networks,conference paper
7256,,sources of parallelism in software pipelining loops with conditional branches,article
7257,,a tree-driven multiple-rate model of time measuring in object-oriented real-time systems,conference paper
7258,,research and development in e-business on the internet,article
7259,,automatic model transformations using extended uml object diagrams in modeling environments,article
7260,,on the semantics of associations and association ends in uml,article
7261,,a survey of object-relational transformation patterns for high-performance uml-based applications,conference paper
7262,,capwise-a domain-specific language for developing graphical user interfaces,conference paper
7263,,formal model of software pipelining loops with conditions,conference paper
7264,,practical large-scale model-driven development of business applications with an executable uml,conference paper
7265,zoran m. jovanovic,,author
7266,,software support for ground control station for unmanned aerial vehicle,conference paper
7267,,a heuristic algorithm for dynamic task scheduling in highly parallel computing systems,article
7268,,visualization of 3d fields and medical data and using vrml,article
7269,,modeling distributed system entities which communicate asynchronous via message passing in java,article
7270,,evaluation of simulators for teaching computer networks,article
7271,,software support for ground control station for unmanned aerial vehicle,conference paper
7272,,interactive visualization of 3d fields and images on inexpensive workstations using vrml,conference paper
7273,,web laboratory for computer network,article
7274,,java cryptography &amp; attribute certificate management,article
7275,,an accurate performance model for network-on-chip and multicomputer interconnection networks,article
7276,,dynamic task scheduling with precedence constraints and communication delays,conference paper
7277,,bridging user context and design models to build adaptive user interfaces,article
7278,,reusable design of data visualization software architecture for unmanned aerial vehicles,article
7279,,routing function and deadlock avoidance in a star graph interconnection network,article
7280,,reengineering the sleep simulator in a concurrent and distributed programming course,article
7281,,computer network simulation and visualization tool for educational purpose,conference paper
7282,,fault tolerance of the star graph interconnection network,article
7283,,a comparison and security analysis of the cloud computing software platforms,conference paper
7284,,web-based grid-enabled interaction with 3d medical data,article
7285,,communication aspects of the star graph interconnection network,article
7286,,improving design of ground control station for unmanned aerial vehicle: borrowing from design patterns,conference paper
7287,,wnetsim: a web-based computer network simulator,article
7288,,formal specification of usability measures in model-driven development of context-sensitive user interfaces,conference paper
7289,,explanation of performance degradation in turn model,article
7290,,fpga accelerator for floating-point matrix multiplication,article
7291,,coala - system for visual representationof cryptography algorithms,article
7292,,flow-based anomaly intrusion detection system using two neural network stages,article
7293,,java cryptography &amp; x.509 authentication,review
7294,,languages for model-driven development of user interfaces: review of the state of the art,review
7295,jelica z. protic,,author
7296,,approach to characterization of parallel applications for dsm systems,conference paper
7297,,an example of the efficient message protocol for industrial lan,article
7298,,self-similar cross-traffic analysis as a foundation for choosing among active available bandwidth measurement strategies,article
7299,,improving source code plagiarism detection: lessons learned,conference paper
7300,,"a software tool that helps teachers in handling, processing and understanding the results of massive exams",conference paper
7301,,memory consistency models for shared memory multiprocessors and dsm systems,conference paper
7302,,scowl: a tool for characterization of parallel workload and its use on splash-2 application suite,conference paper
7303,,parallelization of gst algorithm for source code similarity detection [paralelizacija gst algoritama za detekciju slicnosti u programskom kodu],conference paper
7304,,automating the knowledge assessment workflow for large student groups: a development experience,article
7305,,effects of user behavior and internet provider policy on the accessibility of sezampro on-line system,conference paper
7306,,cisc versus risc processors for graphics: a simulation study,article
7307,,web performance evaluation for internet of things applications,article
7308,,distributed shared memory: concepts and systems,article
7309,,identity provider deployment based on container technology,conference paper
7310,,development of electronic forms and a java parser for processing data about university teaching stuff in accreditation process,conference paper
7311,,comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper
7312,,remote control of industrial robot lola 50 using wireless communication and android device [udaljeno upravljanje industrijskim robotom lola 50 upotrebom wireless komunikacije i android uredaja],conference paper
7313,,test: tools for evaluation of students' tests - a development experience,conference paper
7314,,intelligent crawler for web forums based on improved regular expressions,conference paper
7315,,a comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper
7316,,reflective memory system based on a grid of buses that selectively uses relaxed memory consistency models,conference paper
7317,,prototype implementation of segment assembling software,article
7318,,an analysis of scientific publications from serbia: the case of computer science,conference paper
7319,,a comparison of software tools for plagiarism detection in programming assignments,article
7320,,topic models and advanced algorithms for profiling of knowledge in scientific papers,conference paper
7321,,a modified hill-climbing algorithm for knowledge test assembly based on classified criteria,article
7322,,the book cipher algorithm,article
7323,,once upon a pocket: programmable calculators from the late 1970s and early 1980s and the social networks around them,article
7324,,a survey and classifcation of wireless sensor networks simulators based on the domain of use,article
7325,milo v. tomasevic,,author
7326,,the interactive development and testing system for a risc-style processor,article
7327,,register-level communication in speculative chip multiprocessors,article
7328,,hardware implementation of the mechanism of multiprocessing,article
7329,,extending valgrind framework with the mips msa support,conference paper
7330,,graphical processing unit-based parallelization of the open shortest path first and border gateway protocol routing protocols,article
7331,,the word-invalidate cache coherence protocol,article
7332,,use case analysis of openacc directives in the implementation of image processing algorithms [analiza primene openacc direktiva u implementaciji algoritama za obradu slike],conference paper
7333,,an analysis of chain characteristics in the cryptanalytic tmto method,article
7334,,comparative performance evaluation of the avl and red-black trees,conference paper
7335,,improving schema issue advisor in the azure sql database,conference paper
7336,,speeding up ip lookup procedure in software routers by means of parallelization,conference paper
7337,,interconnection networks in petascale computer systems: a survey,article
7338,,evolution and trends in gpu computing,conference paper
7339,,towards an improved integrated coherence and speculation protocol,conference paper
7340,,multithreaded communication controller for efficient dsm multiprocessors,article
7341,,low-level implementation of the sisc protocol for thread-level speculation on a multi-core architecture,article
7342,,balancing between time and memory requirements in cryptanalysis [kompromis izmedu memorijskih i vremenskih zahteva u kriptoanalitickim postupcima],conference paper
7343,,a simulation environment for the on-line monitoring of a fault tolerant flight control computer,conference paper
7344,,manual parallelization versus state-of-the-art parallelization techniques: the spec cpu2006 as a case study,article
7345,,"electroencephalographic (eeg) correlates of some activities which may alter consciousness: the transcendental meditation technique, musicogenic states, microwave resonance relaxation, healer/healee interaction, and alertness/drowsiness",article
7346,,gpu-based paralelization of the bgp protocol [paralelizacija izbora najboljih ruta u bgp protokolu pomocu grafickog procesora],conference paper
7347,,an improved on-line monitoring technique for a fault-tolerant computing node,conference paper
7348,,risc-style hardware accelerator for operating systems,article
7349,,parallelizing general histogram application for cuda architectures,conference paper
7350,,improving performance of a dsm system by the communication controller optimizations,conference paper
7351,,an overview of microwave resonance therapy and eeg correlates of microwave resonance relaxation and other consciousness altering techniques,review
7352,,simulation study of hardware-oriented dsm approaches,article
7353,,simulation study of hardware-oriented dsm approaches,conference paper
7354,,analysis of cpu and gpu implementations of convolution reverb effect,article
7355,,improved rms for the pc environment,article
7356,,"hardware approaches to cache coherence in shared-memory multiprocessors, part 1",article
7357,,automated multi-platform testing and code coverage analysis of the cp2k application,conference paper
7358,,application of graphics processing units in audio signal processing [primena grafickih procesora u obradi zvucnih signala],conference paper
7359,,new cache architecture concept: the split temporal/spatial cache,conference paper
7360,,data sorting using graphics processing units [sortiranje podataka koriscenjem grafickih procesorskih jedinica],conference paper
7361,,evaluation and analysis of an on-line error detection monitoring technique,article
7362,,gpu-based implementation of reverb effect,conference paper
7363,,an operating system accelerator,article
7364,,an aggressive register-level communication in a speculative chip multiprocessor,conference paper
7365,,the impact of out-of-order message delivery on cache coherence protocols,article
7366,miroslav bojovic,,author
7367,,a streaming dataflow implementation of parallel cocke–younger–kasami parser,book chapter
7368,,advice-educational system for teaching database courses,article
7369,,hardware support to operations of relational algebra.,conference paper
7370,,multipurpose time recursive phase locked loop,article
7371,,an overview of selected hybrid and reconfigurable architectures,conference paper
7372,,principal risk in implementation of a sophisticated erp system at a higher education institutions,conference paper
7373,,effect of ict on the social dimension of short-term and long-term alignment of the participants in the construction of a knowledge society,conference paper
7374,,mobilepdr: a mobile medical information system featuring update via internet,article
7375,,dataflow-based parallelization of control-flow algorithms,book chapter
7376,,an overview of selected heterogeneous and reconfigurable architectures,article
7377,sanja vranes,,author
7378,,proposal for implementing the eu psi directive in serbia,conference paper
7379,,"adaptive middleware for intelligent, context sensitive applications",conference paper
7380,,automatic extraction of ict competences from unstructured sources,conference paper
7381,,prolog/rex - a way to extend prolog for better knowledge representation,article
7382,,the role of knowledge management solutions in enterprise business processes,conference paper
7383,,main challenges in using lod in emergency management,conference paper
7384,,different approaches to real-time application allocation to a multiprocessor system,conference paper
7385,,ontology-mediated integration of knowledge resources in r&amp;d organizations,conference paper
7386,,combined energy hub optimisation and demand side management for buildings,article
7387,,integration platform for de-centralized investment projects appraisal,book chapter
7388,,a decision support system for holistic technology assessment,conference paper
7389,,maturity and applicability assessment of semantic web technologies,conference paper
7390,,a heuristic algorithm for real-time application allocation to multimicrocomputer,article
7391,,semantic classifier for affective computing,conference paper
7392,,best-based expert diagnostic system for the aluminum industry,article
7393,,design knowledge representation in prolog/rex,article
7394,,comparative analysis of commercial knowledge management solutions and their role in enterprises,article
7395,,applicability assessment of semantic web technologies in human resources domain,conference paper
7396,,energy hub modelling and optimisation: an analytical case-study,conference paper
7397,,integrating multiple paradigms within the blackboard framework,article
7398,,decision support tool for used oil regeneration technologies assessment and selection,article
7399,,decision aid for sustainable industrial siting,conference paper
7400,,web4web e-collaboration tools,article
7401,,semantic web based integration of knowledge resources for expertise finding,book chapter
7402,,ontology-based competency management: the case study of the mihajlo pupin institute,article
7403,,truth maintenance in blackboard environment,article
7404,,applying connectionist model to natural language understanding,article
7405,,semantic approach to knowledge processing,article
7406,,chronic toxicity of the sava river (se europe) sediments and river water to the algae pseudokirchneriella subcapitata,article
7407,,ontology-based facility data model for energy management,article
7408,,probabilistic semantic classifier,conference paper
7409,,using the linked data approach in european e-government systems: example from serbia,article
7410,,citizen-centric linked data apps for emergency response systems,book chapter
7411,,invex: investment advisory expert system,article
7412,,a blackboard framework on top of prolog,article
7413,,a generic framework for web-based intelligent decision support systems,article
7414,,overview of some truth maintenance systems,article
7415,,using truth maintenance systems a tutorial,article
7416,,situation awareness and decision support tools for response phase of emergency management: a short survey,conference paper
7417,,semantic web technologies: ready for adoption?,review
7418,,integration of knowledge resources in u&amp;d organizations: the case of mihajlo pupin institute,book chapter
7419,,a natural language processing for semantic web services,conference paper
7420,,dynamic workflows for airport emergency management training,conference paper
7421,,ontology enabled decision support system for emergency management at airports,conference paper
7422,,applicability assessment of semantic web technologies,article
7423,,exploratory spatio-temporal analysis of linked statistical data,article
7424,,a framework for engineering intelligent control systems,article
7425,,smart-phone application for autonomous indoor positioning,conference paper
7426,,representation of texts in structured form,article
7427,,expert diagnostic systems for industrial plants: a case study in the aluminum industry,conference paper
7428,,linked open data infrastructure for public sector information: example from serbia,conference paper
7429,,fides - a financial decision aid that can be trusted,conference paper
7430,,best-based diagnostic systems for industrial plants,conference paper
7431,,nimfa - natural language implicit meaning formalization and abstraction,article
7432,,application of complex event processing paradigm in situation awareness and management,conference paper
7433,,e-collaboration tool for technology foresight exercise,review
7434,,green accounting for greener energy,review
7435,,prolog/rex inference engine,article
7436,,integrating serbian public data into the lod cloud,conference paper
7437,,blackboard metaphor in tactical decision making,article
7438,,applying neural networks to knowledge representation and determination of its meaning,conference paper
7439,,semantic web services with soul,conference paper
7440,,european robotics and intelligent systems conference,article
7441,,a web-based decision support tool for groundwater remediation technologies selection,article
7442,,information technology for cleaner water,conference paper
7443,,big data and quality: a literature review,conference paper
7444,,knowledge representation with soul,article
7445,dragan m. bojic,,author
7446,,a comparative evaluation of effort estimation methods in the software life cycle,article
7447,,analysis of task effort estimation accuracy based on use case point size,article
7448,,the influence of non-functional requirements in ucp method on the accuracy of effort estimates,conference paper
7449,,reverse engineering of use case realizations in uml,conference paper
7450,,developing algorithmic skills of pupils in serbian schools using code.org materials,conference paper
7451,,a comparative evaluation of open source tools for multicore and reconfigurable computing,conference paper
7452,,refmap: restructuring by feature mapping,conference paper
7453,,using part-of-speech tags as deep-syntax indicators in determining short-text semantic similarity,article
7454,,a classification of reverse engineering tools and criteria for their evaluation and selection,article
7455,,use-case driven method of architecture recovery for program understanding and reuse reengineering,article
7456,,knowledge discovery potential in automated test abembly [potencijal tehnike pronalazenja znanja za automatsko sastavljanje testova],conference paper
7457,,automated testing of l-irl robot programming language parser [automatizovano testiranje parsera l-irl jezika za programiranje robota],conference paper
7458,,accelerating program execution using hybrid control flow and dataflow architectures,conference paper
7459,,evaluation and classification of syntax information usage in determining short text semantic similarity [evaluacija i klasifikacija koriscenja sintaksnih informacija u odredivanju semanticke slicnosti kratkih tekstova],conference paper
7460,zaharije r. radivojevic,,author
7461,,a survey and evaluation of free and open source simulators suitable for teaching courses in wireless sensor networks,conference paper
7462,,an implementation of air traffic control simulator,conference paper
7463,,restart optimization for transactional memory with lazy conflict detection,article
7464,,design of the simulator for teaching computer architecture and organization,conference paper
7465,,configurable simulator for computer architecture and organization,article in press
7466,,experiences in the teaching of a new computing paradigm: dataflow supercomputing,conference paper
7467,,erle: embedded run length image encoding,conference paper
7468,,simulator of touch sensitive components [simulator elektronskih komponenti osetljivih na dodir],conference paper
7469,,comparison of binary procedures: a set of techniques for evading compiler transformations,article
7470,,approach for estimating similarity between procedures in differently compiled binaries,article
7471,igor i. tartalja,,author
7472,,2d-rbuc for efficient parallel compression of residuals,article
7473,,domino tiling: a new method of real-time conforming mesh construction for rendering changeable height fields,article
7474,,hfpac: gpu friendly height field parallel compression,article
